Reason for absence;Month of absence;Day of the week;Seasons;Transportation expense;Distance from Residence to Work;Service time;Age;Work load Average/day ;Hit target;Disciplinary failure;Son;Social drinker;Social smoker;Pet;Body mass index;Gabarito_Horas_Falta
27,0;1;2,0;2;178,0;26,0;9;30,0;315,53742257294203;96;0;0;0;0;0;19;2
19,0;4;2,0;3;221,0;25,0;9;28,0;251,4483808174545;91;0;1;0;0;2;24;9
25,0;7;6,0;1;328,0;16,0;4;28,0;232,61981942745857;92;0;0;0;0;0;25;8
27,0;3;4,0;3;176,0;49,0;17;38,0;223,9835963749664;99;0;0;1;0;0;31;3
23,0;11;3,0;4;225,0;26,0;9;29,0;268,1463171879139;93;0;1;0;0;2;24;3
28,0;4;6,0;3;263,0;51,0;11;36,0;238,99717823288785;98;0;4;1;0;0;23;3
10,0;10;6,0;4;370,0;17,0;12;31,0;285,4460271666967;91;0;3;1;0;0;25;7
18,0;9;4,0;4;226,0;27,0;9;28,0;240,68031075263943;92;0;1;0;0;2;24;3
23,0;10;6,0;4;186,0;51,0;18;38,0;253,23258262252745;93;0;0;1;0;0;31;3
28,0;9;3,0;1;119,0;11,0;10;37,0;261,4139235372168;87;0;0;0;0;0;28;2
28,0;5;2,0;3;156,0;11,0;14;34,0;377,121812900535;92;0;2;1;0;0;25;1
27,0;2;6,0;2;179,0;49,0;18;38,0;263,40716423637286;97;0;0;1;0;0;31;2
28,0;2;5,0;2;221,0;26,0;9;28,0;263,1984681093291;97;0;1;0;0;2;24;3
19,0;4;4,0;3;226,0;25,0;14;47,0;249,40618638703427;91;0;2;0;0;1;32;7
14,0;12;5,0;4;368,0;52,0;3;28,0;280,0606230665985;98;0;1;1;0;4;27;3
28,0;2;6,0;2;262,0;50,0;11;36,0;254,90713025673688;96;0;4;1;0;0;23;3
28,0;9;3,0;1;290,0;31,0;12;40,0;292,2185224893954;81;0;1;1;0;1;25;4
18,0;7;5,0;1;174,0;26,0;9;30,0;275,57961100295336;98;0;0;0;0;0;19;8
13,0;3;6,0;2;226,0;50,0;11;36,0;339,7576231590984;95;0;4;1;0;0;23;40
23,0;10;5,0;4;285,0;49,0;29;49,0;284,26216354618737;91;0;0;0;0;2;36;2
28,0;6;6,0;1;255,0;26,0;16;41,0;254,51673507583925;95;0;0;1;0;0;23;2
14,0;3;6,0;3;250,0;24,0;14;47,0;344,21336745788926;95;0;2;0;0;1;32;2
1,0;2;4,0;2;226,0;25,0;14;47,0;264,7663101356698;97;0;2;0;0;1;32;9
13,0;8;5,0;1;118,0;13,0;18;50,0;261,9576839283825;94;0;1;1;0;0;31;3
14,0;10;3,0;4;292,0;31,0;12;40,0;254,5134038360965;93;0;1;1;0;1;25;9
28,0;4;6,0;3;229,0;25,0;9;28,0;325,1799086961917;96;0;1;0;0;2;24;1
25,0;3;4,0;2;226,0;14,0;16;58,0;221,19862762254635;99;0;2;0;0;1;22;2
7,0;4;6,0;3;240,0;10,0;14;36,0;327,3090174098452;96;0;1;0;0;1;29;4
23,0;12;2,0;4;233,0;12,0;14;37,0;236,73167487098905;92;0;1;0;0;1;29;2
28,0;5;3,0;3;114,0;9,0;9;36,0;237,67434795366583;99;0;0;0;0;0;28;2
23,0;2;3,0;2;328,0;16,0;4;28,0;303,0402600146476;99;0;0;0;0;0;25;2
23,0;12;6,0;2;232,0;25,0;9;29,0;261,80091906317915;97;0;1;0;0;2;24;2
23,0;1;2,0;2;152,0;11,0;14;34,0;332,7809701662514;100;0;2;1;0;0;25;2
28,0;4;3,0;3;157,0;12,0;14;34,0;326,149058576933;96;0;2;1;0;0;25;0
1,0;5;2,0;3;234,0;11,0;14;37,0;244,44520756663857;99;0;1;0;0;1;29;7
23,0;8;2,0;1;226,0;36,0;13;33,0;260,585331995643;94;0;2;1;0;1;30;1
22,0;3;3,0;2;183,0;23,0;17;40,0;243,8326136551614;98;0;2;0;1;0;22;8
0,0;6;2,0;3;269,0;11,0;8;33,0;275,5627630085768;96;1;0;0;0;0;25;1
23,0;1;3,0;2;226,0;12,0;14;35,0;331,6771873581493;100;0;2;1;0;0;25;3
18,0;1;3,0;2;150,0;12,0;14;34,0;314,3791976119795;96;0;2;1;0;0;25;9
10,0;5;5,0;3;328,0;16,0;4;28,0;239,344704624106;99;0;0;0;0;0;25;8
28,0;12;6,0;4;179,0;51,0;18;38,0;235,43883186591032;93;0;0;1;0;0;31;1
27,0;2;4,0;2;178,0;50,0;18;38,0;253,66485938659892;96;0;0;1;0;0;31;2
9,0;11;3,0;4;122,0;10,0;10;37,0;269,5267960982846;93;0;0;0;0;0;28;8
13,0;3;2,0;3;226,0;25,0;9;30,0;342,70875461664696;95;0;0;0;0;0;19;1
4,0;10;5,0;4;287,0;47,0;29;49,0;288,88617159605843;91;0;0;0;0;2;36;1
1,0;11;6,0;4;226,0;16,0;8;32,0;268,25552339930834;93;0;0;0;0;0;25;9
23,0;9;6,0;1;178,0;26,0;9;30,0;264,016957368824;87;0;0;0;0;0;19;7
27,0;3;4,0;2;226,0;52,0;18;38,0;221,26559216551624;99;0;0;1;0;0;31;2
26,0;7;3,0;1;330,0;16,0;4;28,0;277,1687788373391;98;0;0;0;0;0;25;8
23,0;11;6,0;4;222,0;26,0;9;28,0;267,77629890059706;93;0;1;0;0;2;24;2
1,0;10;4,0;4;176,0;26,0;9;30,0;262,9566212832093;88;0;0;0;0;0;19;5
11,0;2;2,0;2;387,0;26,0;9;50,0;301,609747821134;99;0;0;0;0;0;24;8
22,0;5;6,0;3;224,0;15,0;15;41,0;238,36861761070568;99;0;2;1;0;2;28;8
23,0;6;4,0;1;227,0;25,0;9;28,0;250,2793821658636;95;0;1;0;0;2;24;2
23,0;2;3,0;2;293,0;32,0;12;40,0;252,8105168334576;96;0;1;1;0;1;25;1
23,0;4;3,0;3;226,0;52,0;3;28,0;246,14583052587952;91;0;1;1;0;4;27;3
27,0;1;2,0;2;117,0;11,0;10;37,0;310,3495904446937;95;0;0;0;0;0;28;3
25,0;1;6,0;2;178,0;21,0;17;40,0;312,234036646411;96;0;2;0;1;0;22;2
28,0;4;4,0;3;182,0;51,0;18;38,0;238,6551432495532;98;0;0;1;0;0;31;8
27,0;1;6,0;2;230,0;27,0;9;28,0;310,3415802583769;95;0;1;0;0;2;24;1
1,0;7;2,0;1;268,0;50,0;11;36,0;241,3502203790916;97;0;4;1;0;0;23;7
23,0;9;3,0;4;224,0;27,0;9;28,0;241,4107644006677;92;0;1;0;0;2;24;1
27,0;1;3,0;2;110,0;26,0;10;38,0;310,29983731425824;95;0;0;0;0;0;28;1
0,0;10;6,0;4;114,0;12,0;18;50,0;266,03418889058224;88;1;1;1;0;0;31;0
14,0;3;2,0;2;278,0;5,0;14;40,0;343,2228810392812;95;0;2;1;1;0;24;8
11,0;7;4,0;1;175,0;50,0;18;38,0;239,8254563682075;97;0;0;1;0;0;31;0
11,0;6;3,0;1;333,0;15,0;4;28,0;254,6827168103686;95;0;0;0;0;0;25;1
23,0;10;3,0;4;180,0;52,0;18;38,0;258,3988192759889;93;0;0;1;0;0;31;3
